date,quantity_sold
2023-01-01,13
2023-01-02,14
2023-01-03,15
2023-01-04,8
2023-01-05,9
2023-01-06,7
2023-01-07,19
2023-01-08,12
2023-01-09,10
2023-01-10,6
2023-01-11,17
2023-01-12,3
2023-01-13,4
2023-01-14,19
2023-01-15,17
2023-01-16,13
2023-01-17,17
2023-01-18,9
2023-01-19,7
2023-01-20,14
2023-01-21,14
2023-01-22,11
2023-01-23,6
2023-01-24,10
2023-01-25,7
2023-01-26,11
2023-01-27,10
2023-01-28,20
2023-01-29,22
2023-01-30,18
2023-01-31,11
2023-02-01,7
2023-02-02,13
2023-02-03,11
2023-02-04,12
2023-02-05,18
2023-02-06,13
2023-02-07,5
2023-02-08,14
2023-02-09,14
2023-02-10,12
2023-02-11,16
2023-02-12,21
2023-02-13,8
2023-02-14,10
2023-02-15,14
2023-02-16,9
2023-02-17,17
2023-02-18,9
2023-02-19,19
2023-02-20,8
2023-02-21,9
2023-02-22,15
2023-02-23,8
2023-02-24,6
2023-02-25,17
2023-02-26,18
2023-02-27,12
2023-02-28,13
2023-03-01,12
2023-03-02,12
2023-03-03,8
2023-03-04,21
2023-03-05,16
2023-03-06,7
2023-03-07,12
2023-03-08,17
2023-03-09,13
2023-03-10,10
2023-03-11,17
2023-03-12,12
2023-03-13,6
2023-03-14,7
2023-03-15,16
2023-03-16,4
2023-03-17,10
2023-03-18,20
2023-03-19,18
2023-03-20,8
2023-03-21,7
2023-03-22,10
2023-03-23,7
2023-03-24,12
2023-03-25,23
2023-03-26,10
2023-03-27,9
2023-03-28,11
2023-03-29,9
2023-03-30,15
2023-03-31,16
2023-04-01,21
2023-04-02,16
2023-04-03,10
2023-04-04,16
2023-04-05,10
2023-04-06,16
2023-04-07,14
2023-04-08,32
2023-04-09,29
2023-04-10,7
2023-04-11,17
2023-04-12,15
2023-04-13,17
2023-04-14,19
2023-04-15,19
2023-04-16,28
2023-04-17,10
2023-04-18,18
2023-04-19,18
2023-04-20,14
2023-04-21,9
2023-04-22,28
2023-04-23,24
2023-04-24,11
2023-04-25,12
2023-04-26,17
2023-04-27,16
2023-04-28,14
2023-04-29,24
2023-04-30,28
2023-05-01,22
2023-05-02,20
2023-05-03,25
2023-05-04,24
2023-05-05,31
2023-05-06,34
2023-05-07,24
2023-05-08,21
2023-05-09,18
2023-05-10,26
2023-05-11,30
2023-05-12,24
2023-05-13,25
2023-05-14,37
2023-05-15,15
2023-05-16,28
2023-05-17,32
2023-05-18,25
2023-05-19,27
2023-05-20,22
2023-05-21,29
2023-05-22,24
2023-05-23,32
2023-05-24,29
2023-05-25,25
2023-05-26,17
2023-05-27,30
2023-05-28,21
2023-05-29,16
2023-05-30,31
2023-05-31,22
2023-06-01,26
2023-06-02,16
2023-06-03,33
2023-06-04,42
2023-06-05,16
2023-06-06,31
2023-06-07,29
2023-06-08,27
2023-06-09,15
2023-06-10,35
2023-06-11,30
2023-06-12,14
2023-06-13,29
2023-06-14,33
2023-06-15,31
2023-06-16,21
2023-06-17,21
2023-06-18,30
2023-06-19,24
2023-06-20,29
2023-06-21,19
2023-06-22,20
2023-06-23,19
2023-06-24,26
2023-06-25,37
2023-06-26,17
2023-06-27,17
2023-06-28,31
2023-06-29,18
2023-06-30,16
2023-07-01,34
2023-07-02,38
2023-07-03,15
2023-07-04,18
2023-07-05,23
2023-07-06,21
2023-07-07,22
2023-07-08,31
2023-07-09,35
2023-07-10,23
2023-07-11,17
2023-07-12,28
2023-07-13,29
2023-07-14,31
2023-07-15,20
2023-07-16,27
2023-07-17,23
2023-07-18,23
2023-07-19,19
2023-07-20,16
2023-07-21,24
2023-07-22,35
2023-07-23,25
2023-07-24,21
2023-07-25,27
2023-07-26,23
2023-07-27,29
2023-07-28,16
2023-07-29,33
2023-07-30,25
2023-07-31,27
2023-08-01,28
2023-08-02,20
2023-08-03,21
2023-08-04,27
2023-08-05,34
2023-08-06,40
2023-08-07,25
2023-08-08,27
2023-08-09,25
2023-08-10,30
2023-08-11,16
2023-08-12,27
2023-08-13,26
2023-08-14,24
2023-08-15,18
2023-08-16,17
2023-08-17,25
2023-08-18,15
2023-08-19,28
2023-08-20,35
2023-08-21,18
2023-08-22,24
2023-08-23,25
2023-08-24,25
2023-08-25,23
2023-08-26,32
2023-08-27,33
2023-08-28,17
2023-08-29,15
2023-08-30,25
2023-08-31,24
2023-09-01,13
2023-09-02,21
2023-09-03,32
2023-09-04,12
2023-09-05,13
2023-09-06,12
2023-09-07,17
2023-09-08,12
2023-09-09,19
2023-09-10,27
2023-09-11,13
2023-09-12,11
2023-09-13,9
2023-09-14,14
2023-09-15,16
2023-09-16,18
2023-09-17,22
2023-09-18,21
2023-09-19,12
2023-09-20,11
2023-09-21,18
2023-09-22,13
2023-09-23,24
2023-09-24,14
2023-09-25,8
2023-09-26,7
2023-09-27,16
2023-09-28,22
2023-09-29,15
2023-09-30,15
2023-10-01,13
2023-10-02,10
2023-10-03,6
2023-10-04,10
2023-10-05,10
2023-10-06,16
2023-10-07,17
2023-10-08,15
2023-10-09,7
2023-10-10,10
2023-10-11,17
2023-10-12,13
2023-10-13,11
2023-10-14,22
2023-10-15,19
2023-10-16,14
2023-10-17,13
2023-10-18,17
2023-10-19,11
2023-10-20,14
2023-10-21,21
2023-10-22,10
2023-10-23,13
2023-10-24,11
2023-10-25,9
2023-10-26,12
2023-10-27,5
2023-10-28,21
2023-10-29,20
2023-10-30,10
2023-10-31,9
2023-11-01,7
2023-11-02,13
2023-11-03,12
2023-11-04,18
2023-11-05,14
2023-11-06,16
2023-11-07,13
2023-11-08,13
2023-11-09,10
2023-11-10,10
2023-11-11,24
2023-11-12,15
2023-11-13,3
2023-11-14,10
2023-11-15,7
2023-11-16,13
2023-11-17,7
2023-11-18,22
2023-11-19,22
2023-11-20,9
2023-11-21,5
2023-11-22,11
2023-11-23,13
2023-11-24,13
2023-11-25,13
2023-11-26,23
2023-11-27,13
2023-11-28,10
2023-11-29,6
2023-11-30,6
2023-12-01,10
2023-12-02,20
2023-12-03,15
2023-12-04,9
2023-12-05,11
2023-12-06,12
2023-12-07,12
2023-12-08,16
2023-12-09,24
2023-12-10,12
2023-12-11,13
2023-12-12,13
2023-12-13,6
2023-12-14,8
2023-12-15,12
2023-12-16,17
2023-12-17,12
2023-12-18,11
2023-12-19,8
2023-12-20,3
2023-12-21,8
2023-12-22,10
2023-12-23,17
2023-12-24,17
2023-12-25,11
2023-12-26,5
2023-12-27,15
2023-12-28,10
2023-12-29,11
2023-12-30,10
2023-12-31,15
