date,quantity_sold
2023-01-01,10
2023-01-02,10
2023-01-03,9
2023-01-04,6
2023-01-05,5
2023-01-06,8
2023-01-07,11
2023-01-08,19
2023-01-09,11
2023-01-10,11
2023-01-11,9
2023-01-12,5
2023-01-13,7
2023-01-14,14
2023-01-15,11
2023-01-16,10
2023-01-17,8
2023-01-18,15
2023-01-19,11
2023-01-20,5
2023-01-21,12
2023-01-22,15
2023-01-23,8
2023-01-24,7
2023-01-25,8
2023-01-26,7
2023-01-27,10
2023-01-28,17
2023-01-29,16
2023-01-30,8
2023-01-31,9
2023-02-01,6
2023-02-02,11
2023-02-03,8
2023-02-04,14
2023-02-05,19
2023-02-06,7
2023-02-07,9
2023-02-08,9
2023-02-09,13
2023-02-10,11
2023-02-11,17
2023-02-12,16
2023-02-13,7
2023-02-14,9
2023-02-15,10
2023-02-16,7
2023-02-17,11
2023-02-18,13
2023-02-19,17
2023-02-20,8
2023-02-21,7
2023-02-22,5
2023-02-23,7
2023-02-24,7
2023-02-25,15
2023-02-26,15
2023-02-27,9
2023-02-28,7
2023-03-01,13
2023-03-02,14
2023-03-03,5
2023-03-04,22
2023-03-05,19
2023-03-06,16
2023-03-07,6
2023-03-08,7
2023-03-09,9
2023-03-10,15
2023-03-11,21
2023-03-12,16
2023-03-13,11
2023-03-14,10
2023-03-15,14
2023-03-16,12
2023-03-17,12
2023-03-18,23
2023-03-19,19
2023-03-20,5
2023-03-21,13
2023-03-22,10
2023-03-23,14
2023-03-24,10
2023-03-25,18
2023-03-26,17
2023-03-27,12
2023-03-28,9
2023-03-29,6
2023-03-30,6
2023-03-31,14
2023-04-01,25
2023-04-02,31
2023-04-03,17
2023-04-04,16
2023-04-05,21
2023-04-06,17
2023-04-07,15
2023-04-08,31
2023-04-09,30
2023-04-10,18
2023-04-11,17
2023-04-12,17
2023-04-13,19
2023-04-14,19
2023-04-15,27
2023-04-16,34
2023-04-17,25
2023-04-18,19
2023-04-19,21
2023-04-20,13
2023-04-21,22
2023-04-22,23
2023-04-23,31
2023-04-24,18
2023-04-25,19
2023-04-26,18
2023-04-27,16
2023-04-28,17
2023-04-29,32
2023-04-30,30
2023-05-01,29
2023-05-02,28
2023-05-03,34
2023-05-04,30
2023-05-05,36
2023-05-06,50
2023-05-07,41
2023-05-08,32
2023-05-09,31
2023-05-10,34
2023-05-11,35
2023-05-12,30
2023-05-13,53
2023-05-14,48
2023-05-15,26
2023-05-16,32
2023-05-17,26
2023-05-18,27
2023-05-19,24
2023-05-20,55
2023-05-21,46
2023-05-22,31
2023-05-23,26
2023-05-24,28
2023-05-25,35
2023-05-26,25
2023-05-27,49
2023-05-28,44
2023-05-29,30
2023-05-30,26
2023-05-31,37
2023-06-01,26
2023-06-02,29
2023-06-03,38
2023-06-04,41
2023-06-05,28
2023-06-06,20
2023-06-07,27
2023-06-08,28
2023-06-09,24
2023-06-10,40
2023-06-11,42
2023-06-12,26
2023-06-13,27
2023-06-14,26
2023-06-15,24
2023-06-16,29
2023-06-17,44
2023-06-18,42
2023-06-19,25
2023-06-20,29
2023-06-21,30
2023-06-22,23
2023-06-23,26
2023-06-24,39
2023-06-25,50
2023-06-26,33
2023-06-27,26
2023-06-28,27
2023-06-29,31
2023-06-30,28
2023-07-01,38
2023-07-02,40
2023-07-03,26
